FOLIO_I,indice1,nseF,nse5F
2022_14021005,-3,19,1,1
2022_30159006,-1,62,1,1
2022_04001036,-1,33,1,1
2022_07058010,-1,07,1,2
2022_29007029,-1,07,1,2
2022_04002196,-2,4,1,1
2022_30159016,-3,95,1,1
2022_30159027,-3,68,1,1
2022_13057026,-3,16,1,1
2022_23005138,-1,8,1,1
2022_30159002,-4,16,1,1
2022_07022003,-2,46,1,1
2022_22016059,-1,33,1,1
2022_07058012,-2,53,1,1
2022_24037036,-4,54,1,1
2022_10007076,-2,47,1,1
2022_07022007,-3,49,1,1
2022_30201016,-3,2,1,1
2022_20272015,-2,43,1,1
2022_30033005,-3,87,1,1
2022_07058026,-4,79,1,1
2022_07022026,-4,17,1,1
2022_24037021,-2,74,1,1
2022_20272003,-2,92,1,1
2022_07052009,-1,63,1,1
2022_07057029,-4,91,1,1
2022_03001006,-2,16,1,1
2022_21147027,-2,38,1,1
2022_17008001,-3,1,1
2022_04001040,-3,76,1,1
2022_20016007,-3,49,1,1
2022_30201017,-2,9,1,1
2022_30033027,-1,67,1,1
2022_11009019,-1,39,1,1
2022_29007010,-3,22,1,1
2022_11030059,-3,82,1,1
2022_20076015,-1,85,1,1
2022_11017004,-1,6,1,1
2022_13057008,-1,05,1,2
2022_13076049,-1,6,1,1
2022_21147005,-2,92,1,1
2022_31098023,-,59,1,2
2022_19021026,-1,84,1,1
2022_11020207,-3,78,1,1
2022_07058013,-,8,1,2
2022_03003090,,64,2,4
2022_21085011,-2,33,1,1
2022_21147014,-2,89,1,1
2022_24021025,-1,68,1,1
2022_13076039,-1,86,1,1
2022_04002154,-1,36,1,1
2022_24037012,-1,87,1,1
2022_29007023,-1,09,1,2
2022_21148006,-2,43,1,1
2022_12051032,-3,86,1,1
2022_11033007,-2,2,1,1
2022_03008010,-,76,1,2
2022_22004010,-1,87,1,1
2022_26030007,-,76,1,2
2022_15115006,-1,67,1,1
2022_14097002,-1,36,1,1
2022_16069001,-,87,1,2
2022_29058010,-,57,1,2
2022_15054018,-,88,1,2
2022_12051005,-3,02,1,1
2022_21148002,-2,13,1,1
2022_04003022,-,47,1,2
2022_29031037,-,2,2,3
2022_15106017,-1,89,1,1
2022_22004008,-2,15,1,1
2022_15115030,-1,05,1,2
2022_23006014,-3,11,1,1
2022_16006028,-3,36,1,1
2022_07089035,-3,89,1,1
2022_24037040,-2,15,1,1
2022_07087003,-2,3,1,1
2022_17011016,-1,65,1,1
2022_19007020,-3,04,1,1
2022_07058020,-1,06,1,2
2022_23006024,-1,46,1,1
2022_25006106,-1,86,1,1
2022_07057023,-2,63,1,1
2022_13046024,-1,65,1,1
2022_03003143,-2,41,1,1
2022_11023038,-3,26,1,1
2022_20076012,-1,6,1,1
2022_20272006,-1,39,1,1
2022_07039018,-2,9,1,1
2022_25018018,-1,86,1,1
2022_23002040,-2,43,1,1
2022_24037002,-1,02,1,2
2022_12029014,-1,06,1,2
2022_19018054,-1,06,1,2
2022_27008037,-1,73,1,1
2022_15012006,-,52,1,2
2022_21212021,-2,65,1,1
2022_23008031,,02,2,3
2022_26042008,-,97,1,2
2022_04004010,-2,15,1,1
2022_22004001,-1,95,1,1
2022_15012023,-1,63,1,1
2022_29043015,-1,65,1,1
2022_25001026,,02,2,3
2022_14098021,-1,6,1,1
2022_13046002,-2,17,1,1
2022_30201009,-2,64,1,1
2022_30201021,-4,12,1,1
2022_15039058,-3,49,1,1
2022_04002121,-2,12,1,1
2022_21147026,-2,63,1,1
2022_06009031,-1,39,1,1
2022_05002028,-1,65,1,1
2022_31041004,-1,36,1,1
2022_11032019,-1,56,1,1
2022_28032029,-,59,1,2
2022_23006027,-1,02,1,2
2022_04002153,-1,6,1,1
2022_07052007,-,71,1,2
2022_27008049,-4,38,1,1
2022_20339020,-1,84,1,1
2022_21010001,-1,65,1,1
2022_15012022,-,1,2,3
2022_04002046,-,78,1,2
2022_27008036,-3,19,1,1
2022_30033011,-4,38,1,1
2022_21148020,-1,86,1,1
2022_13057023,-2,33,1,1
2022_03003115,-1,85,1,1
2022_30201020,-2,63,1,1
2022_20016012,-2,44,1,1
2022_22001014,-2,16,1,1
2022_07089033,-4,04,1,1
2022_11001046,-2,41,1,1
2022_09010014,-2,62,1,1
2022_26047019,-3,33,1,1
2022_07039005,-2,36,1,1
2022_23008026,-,18,2,3
2022_29007034,-1,6,1,1
2022_27002042,-3,19,1,1
2022_10007037,-,2,2,3
2022_20002017,-4,94,1,1
2022_20258005,-,47,1,2
2022_15106033,-1,58,1,1
2022_30033015,-3,14,1,1
2022_07058002,-1,82,1,1
2022_21148001,-2,65,1,1
2022_08037132,-1,36,1,1
2022_13002016,-3,55,1,1
2022_03001041,-2,63,1,1
2022_20272024,-1,54,1,1
2022_30201028,-3,98,1,1
2022_31038007,-1,09,1,2
2022_22016045,-2,63,1,1
2022_12001107,-3,11,1,1
2022_16102012,-1,65,1,1
2022_15039011,-,76,1,2
2022_11027053,-1,09,1,2
2022_15012005,,42,2,3
2022_13046033,-1,89,1,1
2022_09008008,-1,54,1,1
2022_15106013,-1,66,1,1
2022_30201027,-3,19,1,1
2022_24021006,-4,32,1,1
2022_20016036,-3,7,1,1
2022_20016023,-3,9,1,1
2022_13057039,-1,84,1,1
2022_20016035,-3,55,1,1
2022_11014060,-2,89,1,1
2022_20002003,-2,44,1,1
2022_27010006,-1,04,1,2
2022_11020004,,08,2,3
2022_20076023,-2,15,1,1
2022_20390025,-3,93,1,1
2022_07057019,-2,36,1,1
2022_29007003,-,59,1,2
2022_18017090,-1,89,1,1
2022_13046008,-1,01,1,2
2022_15012028,-2,16,1,1
2022_04001015,-1,65,1,1
2022_29043006,-3,28,1,1
2022_20016006,-1,6,1,1
2022_30201005,-,71,1,2
2022_04002170,-,28,2,2
2022_24037014,-2,34,1,1
2022_14093005,-,49,1,2
2022_24037009,-2,14,1,1
2022_27013023,-1,09,1,2
2022_20272017,-,88,1,2
2022_13051030,-,49,1,2
2022_13057036,-1,06,1,2
2022_30123019,-1,39,1,1
2022_15058015,-1,82,1,1
2022_20076032,-1,85,1,1
2022_20076002,-3,5,1,1
2022_24021028,-,21,2,3
2022_23005135,-1,57,1,1
2022_11009030,-2,36,1,1
2022_24037020,-2,73,1,1
2022_15012033,-1,09,1,2
2022_08002003,-2,36,1,1
2022_11032011,-2,44,1,1
2022_12051022,-2,96,1,1
2022_20016015,-4,12,1,1
2022_24037038,-1,56,1,1
2022_12032019,-1,87,1,1
2022_26047020,-2,92,1,1
2022_20390026,-2,43,1,1
2022_12001126,-2,63,1,1
2022_17036006,-,88,1,2
2022_24037049,-3,1,1,1
2022_13057024,-1,06,1,2
2022_11027085,-2,73,1,1
2022_07087015,-2,41,1,1
2022_09016006,-,76,1,2
2022_12032011,-1,61,1,1
2022_19041032,-1,39,1,1
2022_13041013,-1,95,1,1
2022_06002044,,08,2,3
2022_07022006,-2,73,1,1
2022_20258015,-3,19,1,1
2022_24028141,-1,05,1,2
2022_28017007,-3,19,1,1
2022_15104002,-1,09,1,2
2022_23006017,-2,92,1,1
2022_13057015,-1,39,1,1
2022_29007005,-2,16,1,1
2022_23002042,-1,06,1,2
2022_29007011,-1,31,1,1
2022_20515024,-1,36,1,1
2022_09010023,,18,2,3
2022_20272019,-1,05,1,2
2022_11020165,-,88,1,2
2022_20016014,-3,33,1,1
2022_20076007,-,9,1,2
2022_30159013,-3,81,1,1
2022_15118022,-1,85,1,1
2022_30033002,-4,32,1,1
2022_23006018,-1,06,1,2
2022_31050100,-1,36,1,1
2022_27002032,-1,29,1,1
2022_23002023,-,52,1,2
2022_07052026,-3,14,1,1
2022_07052024,-1,6,1,1
2022_27008035,-1,22,1,1
2022_20039006,-2,17,1,1
2022_19018094,-1,36,1,1
2022_23005118,-2,63,1,1
2022_32053027,-2,88,1,1
2022_23005140,-2,17,1,1
2022_24028144,-1,31,1,1
2022_29018004,-2,16,1,1
2022_23008072,-1,05,1,2
2022_19041019,-,79,1,2
2022_20002019,-4,12,1,1
2022_15106018,-2,14,1,1
2022_29007009,-1,39,1,1
2022_07039011,-3,42,1,1
2022_11001004,-3,04,1,1
2022_03008078,-1,05,1,2
2022_11003006,-1,86,1,1
2022_30087007,-1,05,1,2
2022_24037003,-1,65,1,1
2022_27010022,-2,89,1,1
2022_16006006,-,8,1,2
2022_12001080,-3,49,1,1
2022_20390024,-1,36,1,1
2022_30167016,-,76,1,2
2022_23005137,-1,54,1,1
2022_27010026,-2,89,1,1
2022_24037046,-2,89,1,1
2022_20272020,-2,16,1,1
2022_27005001,-3,19,1,1
2022_11017030,-,49,1,2
2022_29007013,-2,16,1,1
2022_21147004,-2,71,1,1
2022_24037006,-2,14,1,1
2022_13046032,-,3,2,2
2022_09017005,,64,2,4
2022_13057001,-2,12,1,1
2022_12051012,-2,95,1,1
2022_27006003,-1,85,1,1
2022_11020013,-1,05,1,2
2022_09012057,-1,86,1,1
2022_11001047,-1,54,1,1
2022_06007049,-,8,1,2
2022_20339030,-1,39,1,1
2022_13076044,-2,43,1,1
2022_20499001,-1,06,1,2
2022_05038007,-1,95,1,1
2022_07052023,-1,66,1,1
2022_11001033,-1,18,1,1
2022_21147009,-1,87,1,1
2022_16102021,-,76,1,2
2022_23006001,-3,19,1,1
2022_27017018,-1,81,1,1
2022_07057008,-,88,1,2
2022_29013024,-1,86,1,1
2022_07039036,-1,68,1,1
2022_12001087,-2,07,1,1
2022_24028074,-1,65,1,1
2022_19018133,-1,06,1,2
2022_28017026,-2,55,1,1
2022_23008044,-,76,1,2
2022_23005042,,03,2,3
2022_27007002,-1,56,1,1
2022_13057022,-3,13,1,1
2022_19007012,-1,6,1,1
2022_23006016,-3,11,1,1
2022_04001035,-1,56,1,1
2022_23006019,-3,98,1,1
2022_13046030,-3,25,1,1
2022_20339019,-1,87,1,1
2022_17018030,-1,6,1,1
2022_12051020,-2,96,1,1
2022_02004076,-1,54,1,1
2022_07057011,-3,82,1,1
2022_18017029,-1,85,1,1
2022_07087001,-2,33,1,1
2022_21148013,-1,87,1,1
2022_19018116,-1,06,1,2
2022_17036020,-,03,2,3
2022_04002195,-2,36,1,1
2022_26047023,-2,36,1,1
2022_26047017,-3,08,1,1
2022_32052043,-1,99,1,1
2022_31052027,-,8,1,2
2022_15033064,-,49,1,2
2022_03003131,-2,15,1,1
2022_27008062,-3,68,1,1
2022_12007013,-2,21,1,1
2022_21114045,-1,06,1,2
2022_13057037,-,79,1,2
2022_31038002,-1,86,1,1
2022_31098002,-1,36,1,1
2022_04001024,-1,09,1,2
2022_13057032,-2,86,1,1
2022_20499006,-1,27,1,1
2022_23002037,-3,42,1,1
2022_07052008,-2,65,1,1
2022_24021008,-2,14,1,1
2022_02002087,-1,65,1,1
2022_03008073,-,27,2,2
2022_29058002,-,32,2,2
2022_07052027,-2,92,1,1
2022_02002165,-3,68,1,1
2022_07039031,-2,15,1,1
2022_21119015,-2,92,1,1
2022_07008004,-2,15,1,1
2022_19044029,-,8,1,2
2022_13057034,-1,65,1,1
2022_22016046,-2,14,1,1
2022_15012016,-2,37,1,1
2022_30159011,-2,63,1,1
2022_03001022,-4,9,1,1
2022_24037044,-1,87,1,1
2022_29007021,-1,36,1,1
2022_28027043,-1,06,1,2
2022_27008057,-2,63,1,1
2022_24037043,-1,87,1,1
2022_15115016,,78,3,4
2022_28018018,-1,57,1,1
2022_29013025,-1,11,1,1
2022_11020035,-1,05,1,2
2022_07057005,-2,95,1,1
2022_26002001,-,74,1,2
2022_17036015,-2,99,1,1
2022_24037033,-2,17,1,1
2022_15106032,-1,84,1,1
2022_03003102,-1,36,1,1
2022_04002150,-2,36,1,1
2022_07057035,-1,95,1,1
2022_13057038,-2,11,1,1
2022_24037048,-2,14,1,1
2022_07057009,-1,76,1,1
2022_24037013,-1,31,1,1
2022_07008017,-2,65,1,1
2022_20390023,,08,2,3
2022_31038028,-,88,1,2
2022_04002152,-2,71,1,1
2022_04002183,-,49,1,2
2022_04004002,-4,28,1,1
2022_23006002,-3,91,1,1
2022_24037041,-2,95,1,1
2022_30206007,-2,12,1,1
2022_13027026,-,77,1,2
