FOLIO_I,indice1,nseF,nse5F
2022_32053018,,47,2,3
2022_15082001,-1,36,1,1
2022_04002173,,47,2,3
2022_13077015,-,88,1,2
2022_04008009,,55,2,4
2022_23008051,-,01,2,3
2022_04002019,-,31,2,2
2022_10007068,-2,24,1,1
2022_28032010,-,32,2,2
2022_12001028,-1,16,1,1
2022_15058027,-1,16,1,1
2022_06010034,-,09,2,3
2022_22011032,-,32,2,2
2022_24028025,-,61,1,2
2022_02002023,-,01,2,3
2022_11017075,,66,2,4
2022_19006141,,77,3,4
2022_31101026,-,78,1,2
2022_31101004,-,61,1,2
2022_28018001,-,93,1,2
2022_08019097,,21,2,3
2022_12001123,-1,39,1,1
2022_05038008,,3,2,3
2022_06010051,,9,3,4
2022_32036017,-,88,1,2
2022_19007009,-3,34,1,1
2022_11020199,,49,2,4
2022_25001020,-,39,2,2
2022_15033105,,28,2,3
2022_16053054,-,32,2,2
2022_13002028,-,61,1,2
2022_21085019,-1,36,1,1
2022_09005005,-1,38,1,1
2022_19021079,,17,2,3
2022_18017043,,9,3,4
2022_01001018,,49,2,4
2022_02002099,,17,2,3
2022_23005047,-,58,1,2
2022_05035066,-,61,1,2
2022_19021138,,47,2,3
2022_26055027,-1,09,1,2
2022_11017079,-,11,2,3
2022_20515008,-,04,2,3
2022_19031092,-,61,1,2
2022_21114047,-1,16,1,1
2022_25011022,1,05,3,4
2022_09005062,,28,2,3
2022_13057021,-1,14,1,1
2022_15122002,-1,09,1,2
2022_31101007,-,04,2,3
2022_29013001,,01,2,3
2022_04003004,,3,2,3
2022_16053004,-,31,2,2
2022_11030045,1,25,3,5
2022_01001069,,55,2,4
2022_08037088,,23,2,3
2022_19026073,-,05,2,3
2022_31050107,-1,07,1,2
2022_19021080,,55,2,4
2022_19046067,-,31,2,2
2022_17011062,-,61,1,2
2022_26055013,,44,2,3
2022_13027032,-,05,2,3
2022_29018010,-,03,2,3
2022_31050081,1,05,3,4
2022_11020040,,25,2,3
2022_20339001,-,64,1,2
2022_06010044,,72,2,4
2022_09017026,1,23,3,5
2022_01005009,1,05,3,4
2022_11037035,,74,3,4
2022_06002069,,55,2,4
2022_21114023,-1,03,1,2
2022_09006004,-,52,1,2
2022_27013008,,56,2,4
2022_13027035,-,42,2,2
2022_05002032,-,01,2,3
2022_32052012,-,79,1,2
2022_11020103,1,03,3,4
2022_31052002,-,01,2,3
2022_04004005,-3,1,1,1
2022_08017019,-,02,2,3
2022_09003003,,44,2,3
2022_19007024,-1,44,1,1
2022_28041021,-,05,2,3
2022_09017018,,9,3,4
2022_05002018,1,06,3,4
2022_19006176,-,52,1,2
2022_05017004,-,28,2,2
2022_11041022,,45,2,3
2022_11030052,,28,2,3
2022_06003010,,15,2,3
2022_15058018,,57,2,4
2022_04003001,2,16,3,5
2022_03003132,,17,2,3
2022_11027021,1,25,3,5
2022_09005054,,34,2,3
2022_11042023,,83,3,4
2022_03003147,,65,2,4
2022_19039021,,55,2,4
2022_19039027,1,25,3,5
2022_06007017,1,25,3,5
2022_31038008,1,04,3,4
2022_11030031,,28,2,3
2022_01001232,1,06,3,4
2022_17019023,-,34,2,2
2022_08017020,-1,4,1,1
2022_05038001,-1,1,1,1
2022_10028025,,9,3,4
2022_12007027,-,12,2,3
2022_13057003,,79,3,4
2022_18006011,,77,3,4
2022_01001086,,16,2,3
2022_11020124,,23,2,3
2022_11001037,,14,2,3
2022_13027023,-1,2,1,1
2022_11020136,1,04,3,4
2022_05030084,1,06,3,4
2022_09007073,-,05,2,3
2022_29013013,-,34,2,2
2022_28027022,,74,3,4
2022_32056027,-,13,2,3
2022_06007015,1,53,3,5
2022_32024022,,73,3,4
2022_21114028,1,04,3,4
2022_04002113,1,32,3,5
2022_25002008,1,32,3,5
2022_25015022,1,15,3,4
2022_09017059,,57,2,4
2022_01006018,,9,3,4
2022_27017003,,56,2,4
2022_19021068,,83,3,4
2022_08032022,1,04,3,4
2022_29058013,,15,2,3
2022_16053003,-,61,1,2
2022_16053055,,47,2,3
2022_11007033,,81,3,4
2022_31050077,1,05,3,4
2022_30123001,,15,2,3
2022_05024022,,17,2,3
2022_10028021,,31,2,3
2022_23008073,,83,3,4
2022_30131011,1,06,3,4
2022_14097029,,93,3,4
2022_11015005,,23,2,3
2022_21148026,,16,2,3
2022_03003019,1,32,3,5
2022_11020173,-,52,1,2
2022_19018037,,55,2,4
2022_09003010,,23,2,3
2022_31050089,1,32,3,5
2022_27007018,,77,3,4
2022_25006116,1,32,3,5
2022_01001016,1,22,3,5
2022_11032034,-,64,1,2
2022_13048025,,83,3,4
2022_19039221,,15,2,3
2022_15033079,-,43,2,2
2022_24021018,-1,23,1,1
2022_04002048,,62,2,4
2022_04002062,1,87,3,5
2022_09012039,-,81,1,2
2022_11027030,-1,09,1,2
2022_04002049,,07,2,3
2022_11003011,1,04,3,4
2022_29007002,1,65,3,5
2022_15033106,,23,2,3
2022_19021064,1,17,3,5
2022_19006125,1,53,3,5
2022_10008029,,36,2,3
2022_07101025,1,53,3,5
2022_04004024,,44,2,3
2022_32053034,,47,2,3
2022_11017069,-,01,2,3
2022_10028023,-,97,1,2
2022_18015017,1,32,3,5
2022_11009002,-,05,2,3
2022_08050013,-,45,2,2
2022_03003124,,23,2,3
2022_19031100,-,31,2,2
2022_08002028,,2,2,3
2022_19006105,1,32,3,5
2022_05017033,1,25,3,5
2022_30206006,,07,2,3
2022_17024023,1,53,3,5
2022_08037189,,15,2,3
2022_06007048,1,06,3,4
2022_01001194,1,83,3,5
2022_24028137,-,33,2,2
2022_11020130,,48,2,3
2022_03003106,,17,2,3
2022_15109020,-,13,2,3
2022_29058005,,17,2,3
2022_08011008,-,03,2,3
2022_04002018,1,22,3,5
2022_02002040,-,34,2,2
2022_11020009,1,06,3,4
2022_11020098,,16,2,3
2022_32023025,1,32,3,5
2022_25015025,,36,2,3
2022_17006018,-,12,2,3
2022_14067009,1,25,3,5
2022_27008001,-,06,2,3
2022_22004011,-1,39,1,1
2022_28027038,1,32,3,5
2022_19021045,1,39,3,5
2022_08019107,,17,2,3
2022_28038016,,55,2,4
2022_08037123,,54,2,4
2022_24013004,1,27,3,5
2022_21085002,-,56,1,2
2022_19032029,,3,2,3
2022_24037001,,23,2,3
2022_26043007,,83,3,4
2022_19026095,1,25,3,5
2022_19046054,,46,2,3
2022_30123007,1,71,3,5
2022_13051020,,05,2,3
2022_27008065,-1,59,1,1
2022_31038015,,46,2,3
2022_19039040,,55,2,4
2022_05002004,-,34,2,2
2022_19039174,-,05,2,3
2022_08011022,-,31,2,2
2022_31056034,,83,3,4
2022_13041015,,16,2,3
2022_25012015,,76,3,4
2022_26042001,1,32,3,5
2022_28032028,,25,2,3
2022_09007218,-,03,2,3
2022_19046079,,25,2,3
2022_17019019,,28,2,3
2022_11007062,,74,3,4
2022_11030063,-,13,2,3
2022_28027012,1,04,3,4
2022_16053012,,83,3,4
2022_11003034,,93,3,4
2022_20067007,,72,2,4
2022_16019018,-,21,2,3
2022_04002058,,21,2,3
2022_01005019,-,23,2,2
2022_05035037,,55,2,4
2022_12001038,,76,3,4
2022_15115026,,25,2,3
2022_10005060,1,25,3,5
2022_26055015,1,06,3,4
2022_19031141,-,01,2,3
2022_06003005,,44,2,3
2022_04002186,,74,3,4
2022_16006023,,36,2,3
2022_15054027,-,06,2,3
2022_24052004,-,58,1,2
2022_27010021,-1,06,1,2
2022_03001017,-2,21,1,1
2022_18006002,1,04,3,4
2022_10012032,-,64,1,2
2022_09007094,,23,2,3
2022_03003153,,72,2,4
2022_11030002,-,54,1,2
2022_02002052,1,04,3,4
2022_24028098,,15,2,3
2022_19021091,-,05,2,3
2022_24028136,1,15,3,4
2022_19031049,,23,2,3
2022_27007008,-,53,1,2
2022_11020324,-1,64,1,1
2022_14098026,1,22,3,5
2022_30039005,,83,3,4
2022_10007064,-1,2,1,1
2022_11030065,-,79,1,2
2022_26002006,,3,2,3
2022_10012041,-,85,1,2
2022_13077026,-,9,1,2
2022_15104028,,39,2,3
2022_32052020,,81,3,4
2022_09007231,1,04,3,4
2022_27002024,-1,35,1,1
2022_06002049,,77,3,4
2022_25012018,,28,2,3
2022_25012013,,55,2,4
2022_31056022,,23,2,3
2022_19012011,,72,2,4
2022_25006048,,72,2,4
2022_04002055,1,65,3,5
2022_13076046,,94,3,4
2022_16015026,,83,3,4
2022_28038012,,25,2,3
2022_05002024,,23,2,3
2022_15104008,1,25,3,5
2022_05002023,,25,2,3
2022_19018084,-,05,2,3
2022_20258013,,6,2,4
2022_11020355,,74,3,4
2022_03008045,-,31,2,2
2022_12029025,1,05,3,4
2022_10007044,1,04,3,4
2022_04002021,,28,2,3
2022_02001003,,53,2,4
2022_28041006,1,53,3,5
2022_28003012,,48,2,3
2022_28003059,-,05,2,3
2022_11017056,,55,2,4
2022_31050071,1,32,3,5
2022_18017059,,48,2,3
2022_08021003,1,32,3,5
2022_25006032,,77,3,4
2022_15054009,,55,2,4
2022_01002021,-1,7,1,1
2022_30039016,-,3,2,2
2022_12029006,,16,2,3
2022_11042032,-,01,2,3
2022_03008056,,28,2,3
2022_04002164,,72,2,4
2022_30131019,,28,2,3
2022_11020140,,72,2,4
2022_17008019,-1,61,1,1
2022_15118006,1,17,3,5
2022_09010027,1,06,3,4
2022_11005028,,23,2,3
2022_16069004,-,21,2,3
2022_11017037,,76,3,4
2022_19031122,1,53,3,5
2022_26030098,1,87,3,5
2022_19006037,,04,2,3
2022_08037049,-,34,2,2
2022_06009058,,55,2,4
2022_16052025,,33,2,3
2022_19046069,,44,2,3
2022_24028125,,76,3,4
2022_16019005,,65,2,4
2022_31079033,,77,3,4
2022_29018032,-,34,2,2
2022_28033013,,15,2,3
2022_30123017,,44,2,3
2022_28003076,,83,3,4
2022_09016011,,25,2,3
2022_18017040,1,06,3,4
2022_19039162,,94,3,4
2022_25015032,-,56,1,2
2022_10012052,-,81,1,2
2022_16053023,1,54,3,5
2022_09012015,1,44,3,5
2022_11014030,0,2,3
2022_17007054,,65,2,4
2022_06010025,,83,3,4
2022_11037016,,55,2,4
2022_11020185,,55,2,4
2022_19018046,-,03,2,3
2022_17005015,-,58,1,2
2022_25006062,,72,2,4
2022_14093025,,28,2,3
2022_19026007,,17,2,3
2022_27017028,-1,07,1,2
2022_19039220,-,01,2,3
2022_11020269,-,3,2,2
2022_14039022,,28,2,3
2022_23008090,,28,2,3
2022_19018015,,55,2,4
2022_09007089,,23,2,3
2022_25015051,-,06,2,3
2022_28038032,1,06,3,4
2022_06003017,-,6,1,2
2022_16082001,,57,2,4
2022_11020121,2,04,3,5
2022_19031035,,44,2,3
2022_08019045,-,88,1,2
2022_19009016,,55,2,4
2022_11030027,,76,3,4
2022_15122004,-,82,1,2
2022_09005028,,28,2,3
2022_11014054,,65,2,4
2022_03003067,,72,2,4
2022_16053058,,15,2,3
2022_03001018,-,6,1,2
2022_07101006,-,34,2,2
2022_03003010,1,28,3,5
2022_15054026,-,74,1,2
2022_05027035,,23,2,3
2022_05030061,,17,2,3
2022_13027003,-,36,2,2
2022_09007097,,45,2,3
2022_08037155,1,06,3,4
2022_15070014,1,27,3,5
2022_32053020,-1,26,1,1
2022_19039012,1,32,3,5
2022_15092023,1,11,3,4
2022_26042026,1,32,3,5
2022_11020238,,83,3,4
2022_11023010,,55,2,4
2022_14067004,,72,2,4
2022_26030103,-,05,2,3
2022_27002013,,6,2,4
2022_28027049,,44,2,3
2022_11007011,-,13,2,3
2022_03008113,-1,61,1,1
2022_28033010,,72,2,4
2022_30087004,1,65,3,5
2022_16107031,-,01,2,3
2022_24028021,,78,3,4
2022_29031010,1,53,3,5
2022_05035065,-,12,2,3
2022_10005016,,77,3,4
2022_07108005,-1,07,1,2
2022_01009023,-,57,1,2
2022_08017021,-,02,2,3
2022_17028012,1,38,3,5
2022_02002051,,44,2,3
2022_19039117,,83,3,4
2022_05035029,1,32,3,5
2022_13041031,,02,2,3
2022_21085027,,29,2,3
2022_27008025,,3,2,3
2022_14093023,1,65,3,5
2022_24013013,1,17,3,5
2022_11005004,-,34,2,2
2022_06009056,-1,17,1,1
2022_32017055,,74,3,4
2022_15033040,,47,2,3
2022_05027027,1,32,3,5
2022_11017051,1,06,3,4
2022_22012020,-,48,1,2
2022_28003049,-,9,1,2
2022_15033072,,94,3,4
2022_10012021,1,25,3,5
2022_19021086,-1,11,1,1
2022_11007009,1,04,3,4
2022_26029001,,23,2,3
2022_15033087,,55,2,4
2022_30033020,-,21,2,3
2022_32036001,,28,2,3
2022_31038011,-,81,1,2
2022_12064018,-1,12,1,1
2022_13051012,,25,2,3
2022_04003017,,74,3,4
2022_23008070,,83,3,4
2022_21119029,1,2,3,5
2022_11032007,-,03,2,3
2022_11018008,,25,2,3
2022_15037011,-,94,1,2
2022_09005064,-,13,2,3
2022_09007008,,55,2,4
2022_26030023,,57,2,4
2022_19049004,-,61,1,2
2022_15106031,1,2,3,5
2022_16082026,1,25,3,5
2022_14098001,-,05,2,3
2022_32024008,,44,2,3
2022_01001034,,55,2,4
2022_22001023,,76,3,4
2022_17028018,,25,2,3
2022_25006072,1,04,3,4
2022_09008019,,83,3,4
2022_09007217,-,32,2,2
2022_32040026,,72,2,4
2022_19046062,,94,3,4
2022_26030128,1,32,3,5
2022_07108019,1,05,3,4
2022_07108001,-2,24,1,1
2022_27008045,-,52,1,2
2022_09016005,1,17,3,5
2022_12032024,,77,3,4
2022_25006096,1,04,3,4
2022_11020029,1,05,3,4
2022_19046066,,62,2,4
2022_32052003,,26,2,3
2022_06007006,,44,2,3
2022_15033091,,28,2,3
2022_11016023,,96,3,4
2022_14097006,,55,2,4
2022_14067030,1,04,3,4
2022_11020056,-,13,2,3
2022_05035025,,94,3,4
2022_24028070,,23,2,3
2022_31098001,,36,2,3
2022_31041005,1,38,3,5
2022_20339008,,94,3,4
2022_06007008,1,53,3,5
2022_06007053,,44,2,3
2022_28027040,1,04,3,4
2022_21147012,-1,12,1,1
2022_15039041,-,05,2,3
2022_23002014,,57,2,4
2022_03008027,-3,08,1,1
2022_11016006,-,31,2,2
2022_03008071,1,53,3,5
2022_26030118,,17,2,3
2022_20067022,1,44,3,5
2022_19039176,,57,2,4
2022_29043026,,76,3,4
2022_15025015,,16,2,3
2022_19006124,,72,2,4
2022_01001190,,96,3,4
2022_01006013,-,01,2,3
2022_19041020,,23,2,3
2022_30123008,,96,3,4
2022_05035069,-,15,2,3
2022_28027037,1,65,3,5
2022_16019030,-1,58,1,1
2022_22004025,-1,41,1,1
2022_05035052,1,04,3,4
2022_20272016,,46,2,3
2022_26047014,-,32,2,2
2022_19006032,1,38,3,5
2022_13027017,-,83,1,2
2022_09007095,1,83,3,5
2022_19021094,,15,2,3
2022_23005075,1,04,3,4
2022_30131021,1,53,3,5
2022_24028023,,72,2,4
2022_23005052,1,32,3,5
2022_16102028,1,04,3,4
2022_19021117,,83,3,4
2022_04002006,1,53,3,5
2022_10008020,-1,46,1,1
2022_31056011,,25,2,3
2022_22016062,-,89,1,2
2022_04004011,-1,66,1,1
2022_11020104,1,71,3,5
2022_11027083,-1,12,1,1
2022_19046041,,44,2,3
2022_24021012,-,9,1,2
2022_31056007,,83,3,4
2022_24028146,,92,3,4
2022_04001007,,47,2,3
2022_11017029,1,04,3,4
2022_19018003,,44,2,3
2022_11020193,,34,2,3
2022_08017010,,35,2,3
2022_23004009,,17,2,3
2022_28032027,,25,2,3
2022_09017031,-,31,2,2
2022_23008043,,55,2,4
2022_02003046,-,82,1,2
2022_11020326,-,9,1,2
2022_07089004,-,02,2,3
2022_17029027,,25,2,3
2022_08050017,,28,2,3
2022_32017010,1,25,3,5
2022_02004003,1,53,3,5
2022_25006052,,45,2,3
2022_11020212,1,25,3,5
2022_31050095,1,53,3,5
2022_14067011,1,25,3,5
2022_19031091,,25,2,3
2022_20076035,,16,2,3
2022_26030136,1,32,3,5
2022_06003006,,28,2,3
2022_11009016,-,56,1,2
2022_17019007,-,05,2,3
2022_19039093,,44,2,3
2022_11023048,-,85,1,2
2022_08037059,-,28,2,2
2022_15033109,1,04,3,4
2022_11020244,,23,2,3
2022_17029023,,55,2,4
2022_22014127,1,04,3,4
2022_03008095,,27,2,3
2022_09007023,,55,2,4
2022_02002060,1,04,3,4
2022_13048028,,57,2,4
2022_14021002,1,53,3,5
2022_19031080,,23,2,3
2022_09005047,,44,2,3
2022_09007117,1,25,3,5
2022_29031003,,82,3,4
2022_19039154,1,83,3,5
2022_09016026,1,53,3,5
2022_19041011,-,05,2,3
2022_26030117,,55,2,4
2022_29018016,-,05,2,3
2022_11009015,-,61,1,2
2022_03008081,,65,2,4
2022_05030037,1,06,3,4
2022_11037003,,23,2,3
2022_11041001,,47,2,3
2022_11020084,1,05,3,4
2022_15115004,,94,3,4
2022_19039028,,65,2,4
2022_11041012,-,61,1,2
2022_22001009,,28,2,3
2022_27008031,-,5,1,2
2022_10008022,,23,2,3
2022_15039033,-,01,2,3
2022_28038029,,57,2,4
2022_23005121,-,23,2,2
2022_24028037,1,25,3,5
2022_19031123,,55,2,4
2022_03003027,1,23,3,5
2022_25012006,1,71,3,5
2022_25006037,1,06,3,4
2022_32040004,-2,51,1,1
2022_15025016,,45,2,3
2022_02001059,,44,2,3
2022_06002062,,77,3,4
2022_19021015,1,53,3,5
2022_05030091,,72,2,4
2022_29031035,,74,3,4
2022_11020306,-,31,2,2
2022_19021059,1,32,3,5
2022_09007193,,34,2,3
2022_08017031,1,32,3,5
2022_22014074,,65,2,4
2022_21085009,-1,09,1,2
2022_11003029,,55,2,4
2022_11003049,-,13,2,3
2022_26030109,,46,2,3
2022_26030037,,46,2,3
2022_29013015,-,05,2,3
2022_06010015,,36,2,3
2022_27008028,1,06,3,4
2022_04002023,-,31,2,2
2022_11020240,-,34,2,2
2022_01001068,-,61,1,2
2022_32010022,-,05,2,3
2022_26030004,-,61,1,2
2022_26043009,,15,2,3
2022_11015026,1,23,3,5
2022_12001095,,77,3,4
2022_19006107,1,65,3,5
2022_11020211,-,01,2,3
2022_19009013,-,15,2,3
2022_11027068,-,79,1,2
2022_23005110,-1,3,1,1
2022_11027014,1,53,3,5
2022_09012004,-,13,2,3
2022_15039029,,55,2,4
2022_09017058,-,03,2,3
2022_12035009,1,27,3,5
2022_29018007,1,06,3,4
2022_29043027,,17,2,3
2022_11009018,,23,2,3
2022_18015019,-,57,1,2
2022_22016023,,72,2,4
2022_16107005,,28,2,3
2022_12035023,1,55,3,5
2022_05002031,,25,2,3
2022_06010053,-,01,2,3
2022_05026006,-,12,2,3
2022_19006131,,77,3,4
2022_17006014,1,05,3,4
2022_20067004,1,65,3,5
2022_26019019,,28,2,3
2022_11037063,-,83,1,2
2022_19031040,1,06,3,4
2022_03008083,,94,3,4
2022_20002012,-1,3,1,1
2022_11001023,,55,2,4
2022_17007034,-,31,2,2
2022_18006032,1,04,3,4
2022_09003014,-,01,2,3
2022_13051007,1,06,3,4
2022_19012021,-,23,2,2
2022_06010028,,23,2,3
2022_17006024,,55,2,4
2022_17011068,1,11,3,4
2022_26042006,1,65,3,5
2022_23005011,1,65,3,5
2022_11017026,,16,2,3
2022_11017088,1,87,3,5
2022_09007236,-1,37,1,1
2022_02001022,-,73,1,2
2022_11020224,,44,2,3
2022_11020331,-,34,2,2
2022_06002046,-,61,1,2
2022_15033051,,55,2,4
2022_19031137,-,05,2,3
2022_01009030,-,13,2,3
2022_02002134,1,32,3,5
2022_13027009,-,5,1,2
2022_01001084,,25,2,3
2022_16107009,,45,2,3
2022_02002020,,44,2,3
2022_11027092,-1,39,1,1
2022_09002013,1,71,3,5
2022_11020001,,55,2,4
2022_09008015,,25,2,3
2022_30087002,,28,2,3
2022_09005023,,77,3,4
2022_11003047,-1,38,1,1
2022_11007055,-,23,2,2
2022_06010001,1,32,3,5
2022_24028075,-,34,2,2
2022_31098015,1,53,3,5
2022_11015014,,72,2,4
2022_15031034,-,05,2,3
2022_10007057,-,89,1,2
2022_23005027,1,06,3,4
2022_11020168,,15,2,3
2022_26030039,,25,2,3
2022_32023009,-1,24,1,1
2022_29007037,,25,2,3
2022_15031013,-,34,2,2
2022_11014020,,72,2,4
2022_28003028,-,01,2,3
2022_09007180,,45,2,3
2022_24035003,,77,3,4
2022_23005083,-,3,2,2
2022_29013010,,96,3,4
2022_17029018,-,52,1,2
2022_02003045,,28,2,3
2022_32024018,,74,3,4
2022_02002037,2,04,3,5
2022_11020170,,44,2,3
2022_18006024,1,32,3,5
2022_19031042,1,32,3,5
2022_01009012,-,13,2,3
2022_15118018,-,05,2,3
2022_09017038,,48,2,3
2022_13057041,,53,2,4
2022_11033013,,82,3,4
2022_19018131,,25,2,3
2022_19044016,,44,2,3
2022_22014060,1,05,3,4
2022_18017035,-,05,2,3
2022_26030041,-,05,2,3
2022_24013001,,76,3,4
2022_30123020,,77,3,4
2022_09006036,-1,32,1,1
2022_17005010,-,82,1,2
2022_01001013,,76,3,4
2022_20039017,1,25,3,5
2022_01005011,,28,2,3
2022_17005009,1,32,3,5
2022_01001230,,25,2,3
2022_11027073,,28,2,3
2022_19018126,,23,2,3
2022_27004029,1,32,3,5
2022_11041028,-,34,2,2
2022_24028080,1,71,3,5
2022_14097020,-,34,2,2
2022_22014125,-,03,2,3
2022_05017014,2,16,3,5
2022_15109017,1,04,3,4
2022_10007030,1,32,3,5
2022_16006014,-,05,2,3
2022_25011033,,83,3,4
2022_11017066,-,43,2,2
2022_08002013,-1,66,1,1
2022_07108011,,57,2,4
2022_17006005,-1,39,1,1
2022_17011007,-,34,2,2
2022_13041009,-,03,2,3
2022_09005031,1,11,3,4
2022_03003002,,72,2,4
2022_19009014,-,03,2,3
2022_18017049,-,13,2,3
2022_28032020,,55,2,4
2022_10028015,,14,2,3
2022_05024012,,72,2,4
2022_18015014,,57,2,4
2022_09007060,,65,2,4
2022_26042007,1,32,3,5
2022_29018025,1,87,3,5
2022_09012061,-,39,2,2
2022_11014022,,34,2,3
2022_27002028,-,59,1,2
2022_11037032,-1,4,1,1
2022_23005028,,76,3,4
2022_28018010,,94,3,4
2022_25011031,,74,3,4
2022_11020080,1,25,3,5
2022_16102023,-,06,2,3
2022_19026056,1,05,3,4
2022_28003022,,55,2,4
2022_22001017,1,27,3,5
2022_22014094,1,32,3,5
2022_31050042,,83,3,4
2022_09013019,-,61,1,2
2022_11027051,1,25,3,5
2022_09007119,1,53,3,5
2022_28033021,,15,2,3
2022_10007027,1,04,3,4
2022_01001041,,76,3,4
2022_11014071,-,63,1,2
2022_32023030,1,17,3,5
2022_23004016,-,34,2,2
2022_11016011,,54,2,4
2022_19021130,,48,2,3
2022_32010016,,39,2,3
2022_15106034,,18,2,3
2022_11044005,-1,38,1,1
2022_15122026,-,01,2,3
2022_11020349,1,2,3,5
2022_02001049,-,62,1,2
2022_15058006,-,89,1,2
2022_26030095,1,32,3,5
2022_09007048,,16,2,3
2022_19006001,,55,2,4
2022_15109018,,83,3,4
2022_16015001,-1,07,1,2
2022_19044003,-,34,2,2
2022_11017077,,57,2,4
2022_32040012,-2,02,1,1
2022_08019093,,44,2,3
2022_19031073,1,06,3,4
2022_06010055,1,04,3,4
2022_19012031,-,52,1,2
2022_19021047,-,31,2,2
2022_01001032,,55,2,4
2022_11023045,-,61,1,2
2022_04002133,-,7,1,2
2022_15025004,,83,3,4
2022_27002008,-1,07,1,2
2022_31041011,,46,2,3
2022_11007057,-,61,1,2
2022_15104027,-,11,2,3
2022_25006008,1,32,3,5
2022_01001052,,47,2,3
2022_03003004,1,71,3,5
2022_17024012,1,27,3,5
2022_21119014,,72,3,4
2022_19046065,,55,2,4
2022_11020020,-,05,2,3
2022_27007017,,55,2,4
2022_12007007,-,03,2,3
2022_20390027,-,3,2,2
2022_11037055,,45,2,3
2022_11020341,,14,2,3
2022_27004035,1,22,3,5
2022_29031020,-,68,1,2
2022_25015005,-,34,2,2
2022_13002022,-,27,2,2
2022_19006180,,57,2,4
2022_32052038,,45,2,3
2022_09005056,-,05,2,3
2022_29043025,-,13,2,3
2022_15092016,1,25,3,5
2022_13076019,1,27,3,5
2022_22016005,-1,1,1,1
2022_01001221,-,34,2,2
2022_19031124,-,31,2,2
2022_11014016,,62,2,4
2022_01001014,,74,3,4
2022_15054023,,05,2,3
2022_10005102,,72,2,4
2022_23008093,1,04,3,4
2022_19031047,1,65,3,5
2022_23005036,,28,2,3
2022_19018086,,55,2,4
2022_19021066,,77,3,4
2022_31050040,1,25,3,5
2022_30039018,-,34,2,2
2022_19031085,1,32,3,5
2022_24013009,1,65,3,5
2022_17011064,-,64,1,2
2022_20339014,1,53,3,5
2022_11030010,,44,2,3
2022_04002030,1,53,3,5
2022_05030067,,55,2,4
2022_05026010,,72,2,4
2022_11037007,,23,2,3
2022_05027014,,76,3,4
2022_25015007,,15,2,3
2022_11017024,,34,2,3
2022_11020161,-,88,1,2
2022_09010068,,15,2,3
2022_14067029,1,32,3,5
2022_22011018,-,94,1,2
2022_02004020,-,86,1,2
2022_11020058,1,32,3,5
2022_01001036,-,61,1,2
2022_31041023,1,06,3,4
2022_29013028,,94,3,4
2022_11003039,-1,88,1,1
2022_28017016,-1,85,1,1
2022_27013016,,9,3,4
2022_19026041,,18,2,3
2022_11003045,,47,2,3
2022_21085003,,48,2,3
2022_15082009,-1,3,1,1
2022_17024027,,82,3,4
2022_02002155,-,58,1,2
2022_19021093,,83,3,4
2022_12064002,-,9,1,2
2022_15058009,-1,32,1,1
2022_25006065,,72,2,4
2022_08019071,1,04,3,4
2022_25006021,1,04,3,4
2022_19018038,,15,2,3
2022_07101031,,23,2,3
2022_13041008,1,53,3,5
2022_11037039,-,34,2,2
2022_15054012,,65,2,4
2022_26030021,1,32,3,5
2022_29058009,-,56,1,2
2022_09007196,,04,2,3
2022_04002059,,77,3,4
2022_19006057,1,39,3,5
2022_25015037,-,34,2,2
2022_09007028,,55,2,4
2022_31050039,1,32,3,5
2022_26019035,1,04,3,4
2022_03003105,1,06,3,4
2022_11020344,,43,2,3
2022_18017093,,15,2,3
2022_09007065,1,65,3,5
2022_22016029,,28,2,3
2022_03003066,,15,2,3
2022_08011035,,15,2,3
2022_09007184,,45,2,3
2022_14093001,1,05,3,4
2022_15118012,-,23,2,2
2022_16053011,,83,3,4
2022_01001203,1,87,3,5
2022_26042027,,72,2,4
2022_30206015,-1,07,1,2
2022_17011019,,28,2,3
2022_19018076,,23,2,3
2022_09005011,,76,3,4
2022_07101007,1,53,3,5
2022_06007036,1,06,3,4
2022_16107004,-1,07,1,2
2022_16015003,-1,1,1,1
2022_19039046,,77,3,4
2022_29043028,,15,2,3
2022_19039074,,66,2,4
2022_31050063,1,32,3,5
2022_26055031,-2,12,1,1
2022_11020071,1,06,3,4
2022_17024022,,72,2,4
2022_16107021,,55,2,4
2022_19046032,-,34,2,2
2022_15037003,-,64,1,2
2022_15109031,-1,12,1,1
2022_15122025,,23,2,3
2022_19031072,2,04,3,5
2022_17028003,,28,2,3
2022_09007031,,16,2,3
2022_06009037,-,54,1,2
2022_32039022,1,87,3,5
2022_15104021,,25,2,3
2022_10012020,,77,3,4
2022_18017061,-,05,2,3
2022_25006023,,77,3,4
2022_10005110,1,04,3,4
2022_05027020,1,04,3,4
2022_09005073,-,82,1,2
2022_03003094,,44,2,3
2022_19018053,,83,3,4
2022_26030084,1,04,3,4
2022_11020150,,55,2,4
2022_32040013,-1,81,1,1
2022_25015033,-,12,2,3
2022_23005043,-,31,2,2
2022_10005089,,28,2,3
2022_14097030,,23,2,3
2022_32023011,-1,15,1,1
2022_21148025,,76,3,4
2022_15106019,,33,2,3
2022_11020075,,47,2,3
2022_03003040,,79,3,4
2022_15031026,-,31,2,2
2022_04001013,,44,2,3
2022_16107017,,54,2,4
2022_19032034,,45,2,3
